Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,URLs,Hashtags,Mentions
1127181168607158272,"Läntinen Viertotie 6.  Nykyinen Mannerheimintie 34. Tångin kauppa. (1908, Kaupunginmuseo, #helsinki) https://t.co/hwm0c1teP7",Signe Brander Bot,signebrander,Sat May 11 11:58:27 +0000 2019,11,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127226467820146688,"Saaren kartano Mietoisissa (1916, Museovirasto) https://t.co/94YGDw1f1e",Signe Brander Bot,signebrander,Sat May 11 14:58:27 +0000 2019,7,0,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,0,0
1127271764982153218,"Näköala Fleminginkatu 24-22:n kohdalta koilliseen (1911, Kaupunginmuseo, #helsinki) https://t.co/pzxJVmOKMd",Signe Brander Bot,signebrander,Sat May 11 17:58:27 +0000 2019,12,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127452959149895681,"Näköala Agricolankatu 8:n tontilta itään Itäisen Viertotien yli kohti Sörnäisten rantaa (1912, Kaupunginmuseo, #helsinki) https://t.co/BEyQ2EXdUF",Signe Brander Bot,signebrander,Sun May 12 05:58:27 +0000 2019,7,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127543557265301504,"Ruoholahdenranta (1912, Kaupunginmuseo, #helsinki) https://t.co/e40sCPFvcz",Signe Brander Bot,signebrander,Sun May 12 11:58:27 +0000 2019,14,0,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127588853483573249,"Signe Brander (1900-luvun alku, Museovirasto) https://t.co/7xOSmtqThc",Signe Brander Bot,signebrander,Sun May 12 14:58:26 +0000 2019,9,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,0,0
1127634151971147776,"Vironkatu 8, 10.  Mariankatu 18. (1909, Kaupunginmuseo, #helsinki) https://t.co/W34MInL6MI",Signe Brander Bot,signebrander,Sun May 12 17:58:26 +0000 2019,13,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127815347963355137,"Pasilan huvila-alue (1912, Kaupunginmuseo, #helsinki) https://t.co/tUgk05DQAa",Signe Brander Bot,signebrander,Mon May 13 05:58:27 +0000 2019,48,6,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127860644454313990,"Läntinen Rantakatu (= Eteläranta ) 18, 20.  Eteläesplanadi 2. (1909, Kaupunginmuseo, #helsinki) https://t.co/euqMwNeOlS",Signe Brander Bot,signebrander,Mon May 13 08:58:26 +0000 2019,16,2,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127905947488223232,"Rauhankatu 6 pihan puolelta. (1910, Kaupunginmuseo, #helsinki) https://t.co/ZOtQhAGFpM",Signe Brander Bot,signebrander,Mon May 13 11:58:28 +0000 2019,7,0,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
1127951243740164096,"Nuhjalan kartanon sali; Kuvassa näkyy salista eteiseen johtava ovi. (1911, Museovirasto) https://t.co/Fg2WBsD0ZY",Signe Brander Bot,signebrander,Mon May 13 14:58:27 +0000 2019,8,0,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,0,0
1127996550171516929,"Hietalahdenkatu 2. (1909, Kaupunginmuseo, #helsinki) https://t.co/bcoe4XbIYQ",Signe Brander Bot,signebrander,Mon May 13 17:58:29 +0000 2019,13,0,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,0,1,0
