Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
975262474646773762,"Huvila Sibeliuksen puistossa (1930 -luku, Kaupunginmuseo, #helsinki) https://t.co/0sYrStu1QB",Signe Brander Bot,signebrander,Sun Mar 18 06:47:48 +0000 2018,14,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYjUDSxWAAAKO_F.jpg ,0,1,0
975307773427769345,"Näköala Vilhonvuorelta (Katri Valan puisto) koilliseen (1911, Kaupunginmuseo, #helsinki) https://t.co/7BmgSUf31a",Signe Brander Bot,signebrander,Sun Mar 18 09:47:48 +0000 2018,14,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYj9QEPX4Acqt5t.jpg ,0,1,0
975353069973245953,"Mariankatu 22, 24, 26, 28. (1907, Kaupunginmuseo, #helsinki) https://t.co/XLJURvWab4",Signe Brander Bot,signebrander,Sun Mar 18 12:47:47 +0000 2018,14,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYkmcqiW4AA01f_.jpg ,0,1,0
975398372206145536,"Louhisaaren kartano (1911, Museovirasto) https://t.co/BOw5k2B632",Signe Brander Bot,signebrander,Sun Mar 18 15:47:48 +0000 2018,14,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYlPpmFX0AIpj2F.jpg ,0,0,0
975443669124870144,"Panoraama Nikolainkirkon (nykyisen Tuomiokirkon) tornista lounaaseen (1909, Kaupunginmuseo, #helsinki) https://t.co/gsgjqKWrLR",Signe Brander Bot,signebrander,Sun Mar 18 18:47:48 +0000 2018,22,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYl42QeW4AEhXm3.jpg ,0,1,0
975624861564461056,"Merisatama (1912, Kaupunginmuseo, #helsinki) https://t.co/ORAwgTSnfM",Signe Brander Bot,signebrander,Mon Mar 19 06:47:47 +0000 2018,5,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYodpCAW4AAw-Yd.jpg ,0,1,0
975670159825305600,"Kaisaniemi (1912, Kaupunginmuseo, #helsinki) https://t.co/pHZWuYoXWW",Signe Brander Bot,signebrander,Mon Mar 19 09:47:47 +0000 2018,5,2,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYpG1tRWsAAbs-u.jpg ,0,1,0
975715457088065536,"Kansakoulu, Kasarmikatu 21.  Paja. (1913, Kaupunginmuseo, #helsinki) https://t.co/db3TZpK6Fq",Signe Brander Bot,signebrander,Mon Mar 19 12:47:47 +0000 2018,8,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYpwCZAX4AAFI5E.jpg ,0,1,0
975760754585546752,"Meijerhovin (Meijerhof) kartanon päärakennus Pieksämäen maalaiskunnan Pyhityn kylässä (ennen 1920, Museovirasto) https://t.co/TpzwF1QrnS",Signe Brander Bot,signebrander,Mon Mar 19 15:47:47 +0000 2018,13,1,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYqZPCYXkAAP1x6.jpg ,0,0,0
975806058475282433,"Professorinrouva Anna af Schültén (1900 -luvun alku, Kaupunginmuseo, #helsinki) https://t.co/YH5yukRHc2",Signe Brander Bot,signebrander,Mon Mar 19 18:47:48 +0000 2018,9,3,Finnish,"<a href=""http://www.whatthehelsinki.com"" rel=""nofollow"">Signe Brander Bot</a>",Tweet,Photo,https://pbs.twimg.com/media/DYrCcFgX4AEqFHQ.jpg ,0,1,0
